TTS_EXGS;TTS_EQ;energy1;layout;number_sidb
0.644666;0.001227;0.787160;21_hex_inputsdbp_nand_v206_11.sqd;21
2.949622;0.002462;0.935420;21_hex_inputsdbp_nand_v199_10.sqd;23
1.381701;0.002907;0.869090;21_hex_inputsdbp_or_v301_00.sqd;22
1.379092;0.008249;0.920390;21_hex_inputsdbp_or_v301_01.sqd;22
2.945615;0.003291;0.990770;21_hex_inputsdbp_nand_v199_11.sqd;23
0.641353;0.001917;0.979670;21_hex_inputsdbp_nand_v206_10.sqd;21
1.378344;0.007463;0.922600;21_hex_inputsdbp_or_v70_10.sqd;22
0.297649;0.003545;0.962400;21_hex_inputsdbp_or_v311_10.sqd;20
0.639147;0.003583;0.983750;21_hex_inputsdbp_nand_v88_10.sqd;21
0.296853;0.000830;0.787990;21_hex_inputsdbp_nor_v140_11.sqd;20
0.298057;0.000763;0.883370;21_hex_inputsdbp_or_v114_00.sqd;20
2.956038;0.003016;0.738000;21_hex_inputsdbp_nor_v119_10.sqd;23
2.952799;0.002512;0.784060;21_hex_inputsdbp_nor_v119_11.sqd;23
0.296426;0.006298;0.935640;21_hex_inputsdbp_or_v114_01.sqd;20
0.296539;0.000780;0.738000;21_hex_inputsdbp_nor_v140_10.sqd;20
0.646042;0.001222;0.787160;21_hex_inputsdbp_nand_v88_11.sqd;21
0.641139;0.003535;0.920390;21_hex_inputsdbp_or_v15_01.sqd;21
1290.007925;0.828816;1.331210;22_hex_inputsdbp_ha_v3_11.sqd;31
1.400319;0.009059;0.926550;21_hex_inputsdbp_or_v276_10.sqd;22
0.302838;0.002645;1.011120;21_hex_inputsdbp_or_v340_11.sqd;20
0.302691;0.002380;0.953320;21_hex_inputsdbp_or_v340_10.sqd;20
1.406940;0.008888;0.985770;21_hex_inputsdbp_or_v276_11.sqd;22
1290.617661;0.245255;1.266530;22_hex_inputsdbp_ha_v3_10.sqd;31
0.662820;0.001039;0.878550;21_hex_inputsdbp_or_v15_00.sqd;21
0.649359;0.003388;0.915400;21_hex_inputsdbp_or_v15_10.sqd;21
1282.939314;0.036410;1.225880;22_hex_inputsdbp_ha_v3_00.sqd;31
1.395133;0.006886;0.925890;21_hex_inputsdbp_or_v276_01.sqd;22
0.295961;0.000781;0.886890;21_hex_inputsdbp_or_v340_00.sqd;20
0.296224;0.002309;0.948400;21_hex_inputsdbp_or_v340_01.sqd;20
1.389835;0.001981;0.869090;21_hex_inputsdbp_or_v276_00.sqd;22
1286.398844;0.657176;1.264860;22_hex_inputsdbp_ha_v3_01.sqd;31
0.666390;0.003236;0.972360;21_hex_inputsdbp_or_v15_11.sqd;21
0.309147;0.001137;0.971850;21_hex_inputsdbp_nor_v140_00.sqd;20
